BN,Name,HandInfo,Birth,Height,Weight
4,이교훈,좌투좌타,2000-05-29,181cm,83kg
17,홍건희,우투우타,1992-09-29,187cm,97kg
18,박종기,우투우타,1995-01-21,177cm,68kg
27,김강률,우투우타,1988-08-28,187cm,95kg
38,권휘,우투우타,2000-12-07,181cm,87kg
42,윤명준,우투우타,1989-06-18,178cm,78kg
43,유재유,우투우타,1997-03-03,181cm,86kg
46,김명신,우투우타,1993-11-29,178cm,90kg
47,곽빈,우투우타,1999-05-28,187cm,95kg
48,이현승,좌투좌타,1983-10-11,179cm,87kg
50,이영하,우투우타,1997-11-01,192cm,91kg
55,이승진,우투우타,1995-01-07,186cm,86kg
57,미란다,좌투좌타,1989-01-10,188cm,86kg
61,최원준,우언우타,1994-12-21,182cm,91kg
64,최승용,좌투좌타,2001-05-11,190cm,87kg
67,조제영,우투우타,2001-02-12,182cm,89kg
10,박세혁,우투좌타,1990-01-09,181cm,86kg
12,최용제,우투우타,1991-07-12,182cm,90kg
22,장승현,우투우타,1994-03-07,184cm,86kg
2,박지훈,우투우타,2000-09-07,183cm,80kg
3,안재석,우투좌타,2002-02-15,185cm,75kg
13,허경민,우투우타,1990-08-26,176cm,69kg
14,박계범,우투우타,1996-01-11,177cm,84kg
25,강승호,우투우타,1994-02-09,178cm,88kg
36,전민재,우투우타,1999-06-30,181cm,73kg
52,김재호,우투우타,1985-03-21,181cm,75kg
23,안권수,우투좌타,1993-04-19,175cm,80kg
31,정수빈,좌투좌타,1990-10-07,175cm,70kg
32,김재환,우투좌타,1988-09-22,183cm,90kg
37,박건우,우투우타,1990-09-08,184cm,80kg
39,김인태,좌투좌타,1994-07-03,178cm,78kg
51,조수행,우투좌타,1993-08-30,178cm,73kg