Type,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,BABIP
G,0.37625,0,-0.26847,0.61732,-0.53455,-0.11055,-0.14754,0.28212,-0.55856,0.27904,0.043587,-0.70126,0.4589,0.17186,-0.42457,-0.51531,0.15397,0.093031,-0.19871,0.18078,-436.42,-86.992,391.3,110.48,-511.03,-30.648
AB,0.6706,0,0,0,0,0,0,0,0,2.7542,0.9289,0.549,-0.6634,1.0728,0.2808,7.7386,4.1815,0,0,0,0,0,0,0,0,-9.8616
PA,0.5525,0,0,0,0,0,0,0,0,2.9443,0.7729,0,0,1.175,1.0426,7.5793,4.4489,7.1292,0.9995,0,0,0,0,0,0,-17.0069
AVG,-0.00069595,-0.000075498,0.00019645,0,0,0,0,0,0,0.00020506,0.0004048,-0.0016154,0,-0.00020386,-0.001809,0.00024454,0.00034585,0,-0.00012277,0.000079093,0,0.81782,0,0,0,0
R,0.0143,0.073,-0.0782,0.0224,0.7299,-0.2752,-0.0648,0.4975,0.5725,0,-0.103,0.1934,-0.4357,0.0069,0.2013,-0.1287,0.0266,-0.2589,0.5222,0,-6.3925,0,0,0,0,0
RBI,0.011716,0.023874,0,-0.023822,0.35922,0,0,0,1.524,-0.057162,0,0.10227,0.052949,0.025738,0,1.5126,-0.090265,0.20601,-0.094109,-0.27211,-13.038,-5.5672,4.9789,0,0,7.1923
H,-0.0056,-0.0822,0.2729,0,0,0,0,0,0,0.3841,0.2209,-0.0946,0.4351,-0.2149,-0.1324,-0.2802,-0.2126,0.0846,-0.0668,0.2701,0,0,0,0,0,0
HR,0.0097,-0.0232,-0.0202,0.021,-0.1131,0,0,0,0,0.1429,0.3209,-0.0387,0.1974,0.0422,0.0366,-0.3745,-0.1044,-0.0024,-0.0886,-0.0559,-1.0102,0,0,0,0,0
BB,-0.6512,-0.12275,0,0.19936,0,-0.40107,-0.47594,-0.80714,-0.38413,0.25142,0.19347,0,1.1961,-0.12079,-0.71451,-0.07199,-0.13902,-0.096746,-0.159,-0.0020735,-28.837,248.56,-95.47,-61.369,139.22,31.354
OBP,0.0028785,0.00034263,0,0.00018208,0,0,0,0,-0.0010021,0.00023754,-0.00055794,0,0.001797,-0.00078612,0.0020507,-0.00013225,-0.0022094,-0.00047671,-0.0002598,0.00060776,0,0,0,0,0.35118,0.59203
SLG,-0.00070069,-0.00043753,0.00082602,-0.0008814,-0.0012595,0,0,0,0,0.00081164,0.0022361,0,0.00081913,0.0012932,0.00033348,-0.0013875,0,0,0,0,1.8186,0.37184,0,0,0,-0.62372